Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Bodegas la Eralta,2018,9440203,Hacienda El Olmo Crianza 2018,3.9,310,5.12,Rioja
Solar Viejo,2015,1181896,Crianza 2015,3.6,872,5.13,Rioja
Bodegas Lagunilla,2018,1129460,Crianza 2018,3.5,656,5.14,Rioja
Lacrima Baccus,2020,6761071,Més Feliç 2020,3.5,27,5.15,Penedès
Finca La Estacada,2020,5197184,Ocho y Medio Tinto Velasco 2020,3.7,27,5.17,Castilla
Familia Torres,2020,1385210,Sangre de Toro 2020,3.3,324,5.18,Cataluña
Bodegas Valdemar,2020,15481,Conde de Valdemar Tempranillo 2020,3.6,105,5.18,Rioja
Emendis,2020,3585530,Cabró! Negre Selecció 2020,3.2,102,5.19,Penedès
Señorío de Sarria,2018,1125826,Crianza 2018,3.5,47,5.2,Navarra
Laudum,2020,3944352,Roble Monastrell - Syrah 2020,3.6,52,5.2,Valencia
Marqués de Griñon,2018,1245440,Crianza (Colección Privada) 2018,3.2,66,5.24,Rioja
Bodegas Piqueras,2016,1190247,Valcanto  Monastrell 2016,3.8,94,5.25,Almansa
D Luis R,2019,8451242,Pipiolo Tinto 2019,3.3,140,5.25,Rioja
Clos Pons,2020,9578205,Torracollons Tinto 2020,3.5,42,5.25,Costers del Segre
Atalaya,2020,1193347,Laya 2020,3.7,2108,5.25,Almansa
Oliver Conti,2021,6623844,Indispensable Negre 2021,3.6,89,5.3,Empordà
Bodega Sommos,2020,9902730,Merlot - Cabernet Roble 2020,3.7,336,5.3,Somontano
Oliver Conti,2020,6623844,Indispensable Negre 2020,3.4,136,5.3,Empordà
Pinord,2018,13071,Clos de Torribas Crianza Tempranillo 2018,3.5,77,5.3,Penedès
Raimat,2020,2057155,Clamor Tinto 2020,3.2,298,5.3,Costers del Segre
Baltasar Gracián,2020,4175593,El Politico Garnacha 2020,3.7,67,5.3,Calatayud
Celler Masroig,2020,98958,Solà Fred 2020,3.6,133,5.31,Montsant
Volver,2020,4486087,Madame Bobalu Bobal 2020,3.7,60,5.32,Valencia
Carlos Serres,2020,1477639,Rioja Tempranillo 2020,3.7,218,5.35,Rioja
Bodegas del Muni,2015,1213318,Corpus del Muni Lucia Selección Tempranillo 2015,3.6,100,5.37,Castilla
Honoro Vera,2020,1196853,Garnacha 2020,3.8,908,5.4,Calatayud
Bodegas Olarra,2021,1554308,Reciente Tempranillo Rioja 2021,3.5,36,5.4,Rioja
Castillo de Monjardin,2018,1902249,Clásico Tempranillo 2018,2.8,201,5.43,Navarra
Alceño,2020,2581921,4 Meses Roble Monastrell 2020,3.6,25,5.45,Jumilla
Segura Viudas,2019,4300311,Garnatxa 2019,3.2,74,5.45,Cataluña
Zuazo Gaston,2018,1162868,Crianza 2018,3.5,274,5.46,Rioja
Félix Solís,N.V.,6266660,Mucho Más Tinto N.V.,4.2,39460,5.48,Vino de España
Bodegas Care,2020,7472718,Tinto Sobre Lías Garnacha - Syrah 2020,3.8,241,5.48,Cariñena
Familia Torres,2019,1152206,Coronas Crianza 2019,3.7,230,5.49,Cataluña
Yllera,2019,5965659,9 Meses en Barrica Roble Tempranillo 2019,3.5,73,5.5,Ribera del Duero
Bodegas Fontana,2020,1181172,Dominio de Fontana Roble Tempranillo - Syrah 2020,3.6,44,5.5,Castilla
Bodegas Paco Mulero,2020,8381083,Prisma Monastrell 2020,3.9,118,5.5,Jumilla
Bodegas Fontana,2019,5961872,Dominio de Fontana Garnacha - Syrah 2019,3.6,48,5.5,Uclés
Bodegas Paco Mulero,2020,7373190,Prisma Garnacha Tintorera - Monastrell 2020,3.7,53,5.5,Almansa
Castillo de Monjardin,2020,1902249,Clásico Tempranillo 2020,3.6,41,5.5,Navarra
Bodegas Paco Mulero,2019,7273354,Prisma Garnacha 2019,3.9,30,5.5,Calatayud
Arganza,2019,2451825,Selección Lagar de Robla 2019,3.5,27,5.5,Bierzo
Cercavins,2018,1631420,Lo Virol Tinto 2018,3.1,55,5.5,Costers del Segre
Eguía,2019,1640526,Crianza Rioja 2019,3.7,28,5.5,Rioja
Baronia,2020,3383115,Com Gat i Gos Red 2020,3.4,25,5.5,Montsant
Campo Viejo,2018,76784,Crianza 2018,3.7,1606,5.5,Rioja
Borsao Bodegas,2017,1401444,Bole 2017,3.8,480,5.5,Campo de Borja
Artuke,2021,2152418,Artuke Rioja 2021,3.8,220,5.52,Rioja
Marqués de Altillo,2015,22815,Crianza 2015,3.4,72,5.54,Rioja
Viore,2018,4170932,5 Meses en Barrica  Tinto 2018,3.4,93,5.55,Toro
Marqués de Altillo,2017,22815,Crianza 2017,3.2,230,5.55,Rioja
Bodegas Príncipe de Viana,2016,1561396,Crianza 2016,3.5,30,5.55,Navarra
Honoro Vera,2020,2141257,Organic Monastrell 2020,3.7,434,5.55,Jumilla
Castro Ventosa,2021,1151531,El Castro de Valtuille Mencía Joven 2021,3.7,75,5.58,Bierzo
Adernats,2020,9543097,Parabòlic 2020,3.3,97,5.6,Cataluña
