Clase,Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región,Categoría,Sello_calidad
Tinto,Barahonda,2014,15709,Monastrell 2014,3.5,433,4.443333333333333,Yecla,Gran Reserva,Denominación de Origen
Tinto,Celler del Roure,2014,1297022,Setze Gallets 2014,3.4,272,4.655,Valencia,Gran Reserva,Denominación de Origen
Tinto,Juan Gil,2017,1612858,Pedrera Monastrell - Shiraz Jumilla 2017,3.5,48,4.036666666666667,Jumilla,Crianza,Denominación de Origen
Tinto,Gramona,2013,2455926,Bru Infanterrible Pinot Noir 2013,3.5,30,4.94,Penedès,Gran Reserva,Denominación de Origen
Tinto,Martin Berdugo,2015,1158446,Barrica 2015,3.6,192,4.95,Ribera del Duero,Reserva,Denominación de Origen
Tinto,Dominio de Tares,2009,3787127,P3 Mencía 2009,4.2,81,4.95,Bierzo,Gran Reserva,Denominación de Origen
Tinto,Empordàlia,2021,1217624,Sinols Negre 2021,3.6,38,4.99,Empordà,Joven,Denominación de Origen
Tinto,Sierra Cantabria,2014,1149692,Selección 2014,3.5,493,4.95,Rioja,Gran Reserva,Denominación de Origen
Tinto,El Miracle,2017,5563599,Art 2017,3.7,595,4.95,Alicante,Crianza,Denominación de Origen
Tinto,Finca La Estacada,2016,3152199,6 Meses en Barrica 2016,3.6,33,4.95,Castilla,Reserva,Sin denominación
Tinto,Bodegas Vallobera,2017,1205627,Crianza Rioja 2017,3.6,443,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Olarra,2014,76308,Añares Rioja Reserva 2014,3.8,790,4.95,Rioja,Reserva,Denominación de Origen
Tinto,Bodega Emina,2016,1236671,Pasión 2016,3.4,316,4.95,Ribera del Duero,Reserva,Denominación de Origen
Tinto,Castillo de Albai,2013,2279717,Reserva Rioja 2013,3.6,743,4.95,Rioja,Reserva,Denominación de Origen
Tinto,Valdubon,2018,1278992,Tempranillo 2018,3.3,162,4.95,Ribera del Duero,Crianza,Denominación de Origen
Tinto,Casado Morales,2014,1291170,EME Graciano 2014,3.6,32,3.8,Rioja Alavesa,Gran Reserva,Sin denominación
