Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Viñedos de Páganos,2017,1100735,La Nieta 2017,4.6,317,108.21,Rioja
Marqués de Riscal,1994,2026372,Barón de Chirel Rioja Reserva 1994,4.4,147,110.0,Rioja
Viñedos de Páganos,2019,1100735,La Nieta 2019,4.6,145,110.0,Rioja
Remírez de Ganuza,2011,99584,Trasnocho 2011,4.5,311,110.5,Rioja
Viñedos de Páganos,2018,1100735,La Nieta 2018,4.6,270,110.8,Rioja
Dominio de Atauta,2013,1664071,Llanos del Almendro Ribera del Duero 2013,4.2,33,111.9,Ribera del Duero
Dominio de Atauta,2013,1784091,Valdegatiles Ribera del Duero 2013,4.6,37,111.9,Ribera del Duero
Pintia,2007,77172,Toro 2007,4.3,2596,112.0,Toro
Alto Moncayo,2016,1189647,Aquilon Garnacha 2016,4.6,71,112.0,Campo de Borja
Abadía Retuerta,2015,73592,Petit Verdot 2015,4.5,316,112.75,Sardón de Duero
