Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Portia,2021,6262524,Verdejo 2021,3.9,86,6.99,Rueda
Finca Bacara,2021,5404663,Yeya Moscatel - Chardonnay 2021,3.8,26,6.99,Jumilla
Monteabellon,2021,2194960,Verdejo 2021,3.9,57,7.0,Rueda
Diez Siglos,2021,1216355,Verdejo 2021,3.6,33,7.0,Rueda
Can Ràfols dels Caus,2019,1739850,Petit Caus Blanc 2019,3.7,44,7.02,Cataluña
Viladellops,2021,1368428,Xarel-lo 2021,3.7,51,7.05,Penedès
Más Que Vinos,2019,1100830,Ercavio Blanco 2019,3.5,29,7.05,Castilla
Más Que Vinos,2020,1100830,Ercavio Blanco 2020,3.5,26,7.08,Castilla
Celler Credo,2021,8399763,And The Winner Is... 2021,3.8,49,7.1,Cataluña
La Vinyeta,2021,1238101,Heus Blanc 2021,3.7,25,7.1,Empordà
Yllera,2021,2557570,Vendimia Nocturna Sauvignon Blanc 2021,3.7,31,7.1,Rueda
Costers del Sió,2021,3984338,Petit Siós Blanc 2021,3.7,60,7.11,Costers del Segre
Alta Alella,2019,1624447,Parvus Chardonnay 2019,3.6,150,7.12,Alella
Nebla,2021,1207089,Verdejo 2021,3.6,107,7.15,Castilla y León
Castillo Perelada,2021,7166495,Inspirador Blanco 2021,3.9,51,7.15,Empordà
Finca Montepedroso,2021,1220731,Rueda Verdejo 2021,3.9,60,7.15,Rueda
Alsina & Sarda,2017,2057050,Finca La Boltana 2017,3.6,30,7.15,Penedès
Hijos de Alberto Gutiérrez,2019,1747051,Verdejo Ecologico 2019,3.7,62,7.2,Rueda
Avgvstvs,2018,5443333,Look 2018,3.3,37,7.2,Penedès
Oliveda,2021,4486460,Garoina 2021,3.8,25,7.2,Empordà
