Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Freixenet,2015,1250617,Cava Meritum Gran Reserva 2015,3.8,92,14.9,Cava
Titiana,2018,2104093,Brut Nature 2018,3.8,27,14.93,Cava
Roger Goulart,2014,3962568,Cava Gran Réserva Gran Cuvée Josep Valls Extra Brut 2014,3.7,178,15.0,Cava
Castillo Perelada,2013,1366324,Cava Brut Nature Reserva Gran Claustro 2013,3.9,116,15.07,Cava
Clos Lentiscus,2017,1654331,Sumoll Reserva Familia Blanc de Noirs 2017,3.9,128,15.14,Penedès
Albet i Noya,2016,5614564,Efecte Classic Penedès Brut Reserva 2016,3.9,134,15.15,Penedès
Freixenet,2008,1646169,Cava Cuvee D.S. de Prestige Gran Reserva Brut 2008,3.8,60,15.17,Cava
Torelló,2015,8117168,Tradicional Brut Nature 2015,3.9,39,15.25,Cava
Torelló,2016,7224623,Special Edition Costa Brava Brut Reserva 2016,3.8,45,15.26,Cataluña
Llopart,2019,6278804,Cava Rosé Brut Reserva 2019,3.9,50,15.4,Cava
Agusti Torello Mata,2014,1319610,Cava Gran Reserva Brut Nature 2014,4.0,136,15.5,Cava
Pago de Tharsys,2018,1295891,Cava Millésime Brut Reserva 2018,4.2,54,15.5,Cava
Torelló,2015,1182204,Brut Nature Gran Reserva 2015,3.8,49,15.5,Cava
Agusti Torello Mata,2017,1319610,Cava Gran Reserva Brut Nature 2017,3.8,71,15.66,Cava
Mestres,2015,4311421,Coquet Gran Reserva Brut Nature 2015,4.0,25,15.9,Cava
Mistinguett,2018,2659009,Cava Reserva Brut 2018,3.8,59,15.91,Cava
Agusti Torello Mata,2015,1319610,Cava Gran Reserva Brut Nature 2015,3.7,132,15.95,Cava
Jané Ventura,2014,96988,Do Gran Reserva 2014,4.1,37,15.95,Cava
